Now all @Apple has to do is get swype on the iphone and it will be crack . Iphone that is	R D @ V P V V V ^ P D ^ & O V V N , ^ O V	0.9788 0.8466 0.9902 0.9973 0.9636 0.9977 0.9889 0.9735 0.7337 0.9979 0.9991 0.8325 0.9991 0.9979 0.9988 0.9984 0.7336 0.9978 0.7396 0.5288 0.9987	Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
Been on hold with @apple customer service for 25 minutes . Wow , lt's like they're #timewarnercable .	V P V P @ N N P $ N , ! , Z P L ^ ,	0.9771 0.9636 0.7697 0.9841 0.9909 0.7871 0.9945 0.9995 0.9828 0.9961 0.9987 0.9889 0.9965 0.3883 0.9660 0.6895 0.3460 0.9959	Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable.
anyone else stuck in duped calendar/mail/battery sucking @apple hell ? #iCloud and #OSX Lion are a disappointment	N R V P A N V @ N , ^ & ^ ^ V D N	0.9370 0.9247 0.9574 0.9449 0.4803 0.9965 0.9818 0.9960 0.6015 0.9962 0.8106 0.9986 0.9820 0.9124 0.9805 0.9931 0.9982	anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment
For being the inventor of the computer mouse — Why is it that @Apple has never made one that is not a complete piece of fucking shit ?!!?	P V D N P D N N , R V O P @ V R V $ P V R D A N P A N ,	0.9978 0.9984 0.9995 0.9979 0.9995 0.9993 0.9940 0.9679 0.8925 0.8434 0.9994 0.9983 0.7172 0.9939 0.9866 0.9914 0.9688 0.9360 0.5279 0.9977 0.9952 0.9802 0.9031 0.9995 0.9972 0.8227 0.9904 0.9891	For being the inventor of the computer mouse — Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?
@Apple you're killing me . Excited about iOS5 no longer- tragic battery drain , genius bar wants to replace the battery . Really ?	@ L V O , V P ^ D R A N N , N N V P V D N , R ,	0.9991 0.9867 0.9995 0.9972 0.9972 0.8693 0.9703 0.7539 0.7338 0.7361 0.9986 0.9924 0.6373 0.9971 0.7699 0.9959 0.9980 0.9954 0.9998 0.9996 0.9958 0.9990 0.9975 0.9957	@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain, genius bar wants to replace the battery. Really?
1st impressions of #iOS5 - Disappointed w upgrade restore . Lot of apps & folders missing @apple do how much time went in2 orging it ? #fail	A N P ^ , V P V V , N P N & N V @ V R A N V P V O , #	0.7826 0.9996 0.9964 0.9532 0.9584 0.7824 0.9592 0.7875 0.8813 0.9969 0.8985 0.9945 0.5228 0.9949 0.9609 0.9918 0.9934 0.9934 0.9994 0.9843 0.9984 0.9939 0.9340 0.9242 0.9815 0.9979 0.7019	1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail
@PrJusto Don't question the @Apple they will remember your dissent !	@ V V D @ O V V D N ,	0.9990 0.9854 0.9719 0.9910 0.9878 0.9908 0.9992 0.9999 0.9804 0.9994 0.9991	@PrJusto Don't question the @Apple they will remember your dissent!
@apple : Multiple times siri is " having trouble connecting to the network . " Siri needs servers ( and some exercise ! )	@ ~ ^ N ^ V , V N V P D N , , ^ V N , & D N , ,	0.9968 0.8293 0.5963 0.5254 0.8390 0.9945 0.9975 0.9984 0.9631 0.9806 0.9974 0.9984 0.9942 0.9974 0.9751 0.9975 0.9756 0.9941 0.9907 0.9994 0.9847 0.9942 0.9905 0.8910	@apple: Multiple times siri is "having trouble connecting to the network."  Siri needs servers (and some exercise!)
So my iMessage still isn't working ! @apple	P D ^ R V V , @	0.9559 0.9845 0.7811 0.9889 0.9991 0.9675 0.9977 0.9959	So my iMessage still isn't working! @apple
RT @JimMcNiel : if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...	~ @ ~ P @ V R V D ^ N N O V V P V D A N P V , O R V V ,	0.9979 0.9991 0.9417 0.9950 0.9949 0.9960 0.9939 0.9987 0.9973 0.9888 0.7990 0.8203 0.9793 0.9993 0.9988 0.9897 0.9998 0.9965 0.9984 0.9996 0.9973 0.7376 0.9478 0.9298 0.9105 0.9986 0.7198 0.5962	RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...
dear @apple , why you gotta go change the way < input type = " number " > is handled out of the blue ?	! @ , R O V V V D N ~ N N , , N , E V V P P D A ,	0.5406 0.9907 0.9844 0.9657 0.9995 0.9995 0.9916 0.8363 0.9994 0.9764 0.7000 0.9659 0.6094 0.8792 0.9900 0.9886 0.9954 0.3182 0.9974 0.9945 0.7627 0.9984 0.9989 0.5696 0.9949	dear @apple, why you gotta go change the way &lt;input type="number"&gt; is handled out of the blue?
Ugh . WTF is up with all the bottlenecks @paypal @apple ?	! , ! V T P D D N @ @ ,	0.9775 0.9976 0.8144 0.9993 0.4465 0.9992 0.6010 0.9994 0.9824 0.9974 0.9962 0.9928	Ugh. WTF is up with all the bottlenecks @paypal @apple?
+1 RT @Doug_Newton : @apple PLEASE FIX #Siri !!!! She can't connect to your network !!!!!!!	~ ~ @ ~ @ V V ^ , O V V P D N ,	0.3933 0.9774 0.9988 0.9686 0.9973 0.9551 0.9561 0.9600 0.9927 0.9967 0.9995 0.9974 0.9962 0.9708 0.9958 0.9971	+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
@apple PLEASE FIX #Siri !!!! She can't connect to your network !!!!!!!	@ V V ^ , O V V P D N ,	0.9987 0.9560 0.9521 0.9574 0.9927 0.9967 0.9995 0.9974 0.9962 0.9660 0.9954 0.9935	@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues ?	P @ V R V D ^ N N O V V P V D A N P V , O R V V N ,	0.9923 0.9956 0.9959 0.9943 0.9987 0.9973 0.9888 0.7990 0.8203 0.9793 0.9993 0.9988 0.9897 0.9998 0.9965 0.9984 0.9996 0.9973 0.7376 0.9478 0.9298 0.9105 0.9977 0.9870 0.9779 0.9979	if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?
any chance @apple will release good headphones that dont blast music outside the ears ? #iphone #ipod its quite obnoxious	D N @ V V A N P V V N P D N , N N L R A	0.9888 0.9647 0.9957 0.9829 0.9173 0.9985 0.9969 0.8526 0.9796 0.6829 0.9888 0.9737 0.9997 0.9963 0.9961 0.3456 0.9236 0.9867 0.9983 0.9997	any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious
@Apple - #Siri is not working due to " network problem " ? Seriously ? Can you fix this ? #iPhone4s #Fail	@ , ^ V R V A P , N N , , R , V O V O , ^ #	0.9980 0.7313 0.9820 0.9954 0.9972 0.9992 0.5626 0.9960 0.9840 0.8893 0.9967 0.9960 0.9966 0.9933 0.9970 0.9992 0.9988 0.9992 0.7718 0.9968 0.5180 0.7375	@Apple - #Siri is not working due to "network problem"? Seriously? Can you fix this? #iPhone4s #Fail
@trisha_ps @iCloud is Cloudy . @apple tech , not very techy .	@ @ V A , @ N , R R A ,	0.9989 0.9957 0.9954 0.9864 0.9979 0.9963 0.8683 0.9985 0.9962 0.9909 0.9455 0.9972	@trisha_ps @iCloud is Cloudy. @apple tech, not very techy.
@electricsoup It has to connect to @Apple to process commands , which it is failing to do right now	@ O V P V P @ P N N , D O V V P V R R	0.9991 0.9955 0.9996 0.9917 0.9941 0.9924 0.9915 0.9859 0.7007 0.6582 0.9985 0.6778 0.9980 0.9995 0.9682 0.9662 0.9998 0.9450 0.9954	@electricsoup It has to connect to @Apple to process commands, which it is failing to do right now
See @Apple , that what's happen when you release iPhone 4S with same crappy design as the old phone !	V @ , O L V R O V ^ $ P A A N P D A N ,	0.8519 0.9890 0.9906 0.5136 0.9860 0.9974 0.9881 0.9656 0.8280 0.9222 0.4793 0.9968 0.9812 0.9381 0.9962 0.9980 0.9993 0.9965 0.9992 0.9983	See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!
This . RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri . Not very reliable	O , ~ @ V P @ V R R N D N V P ^ , R R A	0.6947 0.9961 0.9963 0.9990 0.9926 0.9701 0.9929 0.9926 0.9996 0.9032 0.7084 0.9982 0.9985 0.9947 0.9981 0.9977 0.9970 0.9947 0.9981 0.9997	This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
Looks like @Apple did not appropriately project the resources needed for Siri . Not very reliable	V P @ V R R N D N V P ^ , R R A	0.9944 0.9707 0.9930 0.9925 0.9996 0.9032 0.7084 0.9982 0.9985 0.9947 0.9981 0.9977 0.9970 0.9949 0.9973 0.9995	Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable
Spoke to an @Apple rep on phone & could hear her tv blaring in the bg . She said , " I can't actually help u , just direct u back to the web "	V P D @ N P N & V V D N V P D N , O V , , O V R V O , R A O R P D N ,	0.9924 0.9939 0.9160 0.9845 0.5759 0.9921 0.9959 0.9935 0.9960 0.9966 0.9640 0.9976 0.9942 0.9776 0.9992 0.9923 0.9984 0.9971 0.9953 0.9972 0.9945 0.9979 0.9999 0.9976 0.9985 0.9968 0.9984 0.9998 0.7601 0.9898 0.7779 0.9992 0.9980 0.9483 0.9955	Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said, "I can't actually help u, just direct u back to the web"
What's wrong with Siri today @apple	L A P ^ N @	0.9965 0.9629 0.9993 0.9974 0.9859 0.9965	What's wrong with Siri today @apple
@Apple Siri is down !	@ ^ V R ,	0.9990 0.9981 0.9990 0.6895 0.9985	@Apple Siri is down!
I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release ... My battery is seriously ailing .	L V @ V D N P D ^ $ R P D ^ ^ N , D N V R V ,	0.9967 0.9462 0.9965 0.9982 0.9993 0.9884 0.9991 0.9955 0.8055 0.5344 0.9973 0.9997 0.9993 0.9718 0.3917 0.8825 0.9717 0.9955 0.9966 0.9952 0.9964 0.8318 0.9981	I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.
on hold for another half hour . phone is ringing but no one is picking up . @apple you stink .	P V P D N N , N V V & D N V V T , @ O V ,	0.9831 0.7134 0.9901 0.9937 0.5221 0.9914 0.9975 0.9958 0.9970 0.9900 0.9924 0.8640 0.7908 0.9976 0.9973 0.9654 0.9970 0.9930 0.9979 0.9899 0.9966	on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.
Ok this @Apple software update for the #iphone is taking waaaaay too long !	! O @ N N P D N V V N R A ,	0.8239 0.7677 0.9932 0.9423 0.9179 0.9999 0.9988 0.5981 0.9936 0.9832 0.9205 0.9954 0.9636 0.9992	Ok this @Apple software update for the #iphone is taking waaaaay too long!
#annoyed	#	0.8693	#annoyed
@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO	@ V V R P V N R P V P ^ , A N V P N N U	0.9985 0.9973 0.9999 0.5236 0.9963 0.9992 0.9924 0.9989 0.9397 0.9849 0.9933 0.9681 0.9591 0.8334 0.9983 0.9227 0.9872 0.4203 0.9215 0.9977	@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO
@apple does iOS 5 rape your battery life ? or am I just using my phone a lot since getting it	@ V ^ $ V D N N , & V O R V D N D N P V O	0.9984 0.9957 0.9419 0.9755 0.5584 0.9908 0.9895 0.9974 0.9978 0.9934 0.9622 0.9992 0.9993 0.9997 0.9983 0.9987 0.9764 0.9347 0.9929 0.9997 0.9959	@apple does iOS 5 rape your battery life? or am I just using my phone a lot since getting it
@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it . RIGHT APPLE }: 0 (	@ @ R L D A N @ V V V O , ! ^ E $ ,	0.9982 0.9985 0.9896 0.9959 0.9973 0.9971 0.9862 0.9964 0.9870 0.9992 0.9993 0.9924 0.9988 0.4502 0.9774 0.3830 0.8627 0.9427	@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( 
#itjustworks	#	0.9345	#itjustworks
@samsung , @apple , you do realise you're just really pissing off the customer base AS WELL AS looking petty .	@ , @ , O V V L R R V P D N N P R P V A ,	0.9947 0.9915 0.9974 0.9956 0.9992 0.9997 0.9224 0.9915 0.9998 0.9968 0.9978 0.5481 0.9996 0.8735 0.9898 0.7608 0.7897 0.8164 0.9800 0.9955 0.9974	@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty.
@Apple - why do I have to have apps I am updating in their original ' folder ' location ? That was painful .	@ , R V O V P V N O V V P D A , N , N , O V A ,	0.9980 0.8636 0.8759 0.9923 0.9995 0.9998 0.9948 0.9989 0.9492 0.9882 0.9980 0.9760 0.9794 0.9856 0.8436 0.9719 0.9947 0.9779 0.9979 0.9977 0.9596 0.9978 0.9822 0.9980	@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.
@apple domain fail . Open 2 hrs late for walk in ppl . Store was empty and i only need a skin 4 my screen . You represent customer service FAIL	@ N N , V $ N A P V P N , ^ V A & O R V D N P D N , O V N N N	0.9984 0.8964 0.9097 0.9990 0.5304 0.6574 0.7494 0.8414 0.9996 0.8916 0.9226 0.9962 0.9980 0.5086 0.9892 0.9638 0.9975 0.9896 0.9438 0.9982 0.9985 0.9970 0.9795 0.9970 0.9923 0.9985 0.9988 0.9982 0.8213 0.9943 0.5020	@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL
@BrianMincey @apple the chipsets tear through battery life . Coworker has a htc thunderbolt that he gets about 3 hours of life .	@ @ D N N P N N , N V D ^ N P O V P $ N P N ,	0.9989 0.9978 0.9986 0.9106 0.6371 0.9752 0.8360 0.9983 0.9980 0.5606 0.9988 0.9841 0.8484 0.4362 0.9915 0.9989 0.9999 0.9532 0.9905 0.9984 0.9951 0.9950 0.9975	@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.
I wish the Apple updater would stop trying to ram iTunes down my throat . I don't own a pissing iPhone @apple	O V D ^ ^ V V V P V ^ P D N , O V V D A ^ @	0.9982 0.9998 0.9948 0.9872 0.5653 0.9891 0.9983 0.9979 0.9951 0.7323 0.6749 0.7909 0.9989 0.9970 0.9979 0.9972 1.0000 0.9607 0.9496 0.5462 0.7170 0.9931	I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple
Is it me or does my #iPhone run slower since the #iOS 5 update ? @apple @Verizon	V O O & V D N V A P D ^ $ N , @ @	0.9993 0.9965 0.9932 0.9707 0.9995 0.9890 0.5274 0.9653 0.9021 0.9993 0.9984 0.9738 0.9732 0.9791 0.9970 0.9742 0.9978	Is it me or does my #iPhone run slower since the #iOS 5 update? @apple @Verizon
Just searching with my voice on my 2 year old nexus one @apple .	R V P D N P D $ N A N $ @ ,	0.9994 0.9982 0.9991 0.9986 0.9983 0.9986 0.9915 0.8406 0.7581 0.9942 0.9119 0.9738 0.9853 0.9975	Just searching with my voice on my 2 year old nexus one @apple.
@apple , your update server has been timing out for a week . i had to force a restore w/the new #iOS5 software . lost all my stuff . thanks !	@ , D N N V V V T P D N , O V P V D N P A ^ N , V X D N , N ,	0.9971 0.9939 0.7156 0.9950 0.9917 0.9909 0.9585 0.8530 0.7838 0.9995 0.9979 0.9976 0.9980 0.9873 0.9999 0.9893 0.9970 0.9700 0.7180 0.9768 0.9961 0.9502 0.9787 0.9980 0.9499 0.6648 0.9996 0.9990 0.9980 0.7749 0.9977	@apple, your update server has been timing out for a week. i had to force a restore w/the new #iOS5 software. lost all my stuff. thanks!
#appleupdates	#	0.9363	#appleupdates
2 success stories- iPhone & iPad 2 .	$ N N ^ & ^ $ ,	0.6279 0.9948 0.9940 0.7877 0.9955 0.9587 0.7992 0.9971	2 success stories- iPhone & iPad 2.
Now been on phone to Apple 45 mins . iPad 1 WILL not . Wasting my time	R V P N P ^ $ N , ^ $ V R , V D N	0.9811 0.9881 0.8785 0.9964 0.9995 0.9785 0.9713 0.9784 0.9977 0.7095 0.9918 0.8149 0.9966 0.9950 0.9993 0.9991 0.9982	Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time 
@apple	@	0.9986	@apple
#Replaceit !	# ,	0.6789 0.9957	#Replaceit!
Thanks to a 90 minute wait on hold , half an hour actually talking to someone , the @Apple tech decides to send me an email to fix my phone	N P D $ N V P N , R D N R V P N , D @ N V P V O D N P V D N	0.9431 0.9989 0.9813 0.9990 0.9534 0.9865 0.9387 0.4614 0.9983 0.2257 0.9621 0.9971 0.9992 0.9949 0.9942 0.9548 0.9942 0.9892 0.9794 0.8371 0.9808 0.9944 0.9999 0.9960 0.9751 0.9877 0.9992 0.9996 0.9984 0.9995	Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone
I am very upset about and inconvenienced by this iphone update failed backup . @iphone @apple	O V R A P & V P D ^ N V N , @ @	0.9975 0.9929 0.9930 0.9817 0.8825 0.9973 0.8718 0.9982 0.9270 0.7183 0.9546 0.6829 0.9211 0.9994 0.9970 0.9977	I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple
but seriously @apple finance me a damn phone you greedy bastards ! OR Santa ... get your jolly ass in gear and get us a 4S - white plz	& R @ V O D A N O A N , & ^ , V D A N P N & V O D $ , A N	0.9913 0.9961 0.9962 0.6289 0.9926 0.9776 0.9573 0.9905 0.9629 0.9998 0.9996 0.9985 0.9135 0.9955 0.9563 0.9993 0.9941 0.9717 0.9932 0.9964 0.9699 0.9947 0.9998 0.9723 0.9945 0.8115 0.9219 0.7587 0.3591	but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz
My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo ' mobile I get the mo ' immobile I is . Sync Not !	D N V $ A P V A N P @ @ P V ^ R G , A O V D N , A O V , N R ,	0.9978 0.9971 0.9962 0.4799 0.9900 0.9278 0.9942 0.6179 0.9978 0.9992 0.9955 0.9980 0.7405 0.9777 0.8834 0.3997 0.3428 0.8048 0.5268 0.9929 1.0000 0.9978 0.9189 0.9476 0.3089 0.9985 0.9999 0.9964 0.4599 0.9907 0.9969	My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!
Pondering the iOS update ... From the sounds of @MikeFerri's difficulties , I may just hold off :/ @Apple , FIX IT !	V D ^ N , P D N P Z N , O V R V T E @ , V O ,	0.9940 0.9993 0.9666 0.9564 0.9664 0.9984 0.9950 0.9786 0.9984 0.6744 0.9918 0.9975 0.9973 0.9942 0.9994 0.9988 0.9525 0.8645 0.9941 0.9925 0.9933 0.9885 0.9982	Pondering the iOS update... From the sounds of @MikeFerri's difficulties, I may just hold off :/ @Apple, FIX IT!
@twalve @apple you know the issues they have with DST and alarms :p	@ @ O V D N O V P ^ & N E	0.9989 0.9973 0.9986 0.9997 0.9994 0.9913 0.9853 0.9998 0.9991 0.9936 0.9982 0.9699 0.9749	@twalve @apple you know the issues they have with DST and alarms :p
Why book @Apple Genius Bar if after 2.5 hours you still can't be served . Disappointing Apple Store Sydney . #thanksfornothing	R N @ ^ ^ P P $ N O R V V V , A ^ ^ ^ , #	0.8781 0.8263 0.9964 0.5702 0.5204 0.9910 0.8647 0.9890 0.9720 0.9947 0.9962 0.9996 0.9997 0.7759 0.9966 0.9799 0.9808 0.9597 0.9997 0.9909 0.9887	Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing
Apparently @Apple genius training doesn't extend to clocks & service . They're half an hour late for my appointment and couldn't let me know ?	R @ N N V V P N & N , L R D N A P D N & V V O V ,	0.9850 0.9968 0.9265 0.9379 0.9754 0.9996 0.9901 0.6323 0.9949 0.9907 0.9983 0.5305 0.4528 0.9621 0.9820 0.8382 0.9999 0.9973 0.9992 0.9980 0.9995 0.9999 0.9998 0.9622 0.9973	Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
Thanks @apple for an OS update that has only succesfully bricked my iPod .	N @ P D ^ N P V R R V D ^ ,	0.8231 0.9939 0.9986 0.9950 0.6097 0.7011 0.5963 0.9937 0.8177 0.8886 0.9778 0.9975 0.6130 0.9961	Thanks @apple for an OS update that has only succesfully bricked my iPod.
screw you @apple iOS 5 . I can't download this crap , and I'm tired of trying . Get this problem figured out about my connection timing out	V O @ ^ $ , O V V D N , & L A P V , V D N V T P D N N P	0.9088 0.9990 0.9932 0.8965 0.9910 0.9971 0.9973 1.0000 0.9972 0.9488 0.9931 0.9990 0.9989 0.9978 0.9451 0.9953 0.9555 0.9970 0.9991 0.9734 0.9976 0.9990 0.8422 0.9974 0.9956 0.9994 0.5184 0.6745	screw you @apple iOS 5. I can't download this crap, and I'm tired of trying. Get this problem figured out about my connection timing out
Wow . iCloud's mail is down . 1st the iOS 5 upgrade issues and now this . I really hope this isn't @apple without Steve Jobs .	! , Z N V R , A D ^ $ V N & R O , O R V O V @ P ^ N ,	0.9929 0.9948 0.6586 0.9991 0.9992 0.6899 0.9963 0.6140 0.9961 0.9322 0.9435 0.4580 0.9333 0.9961 0.9944 0.9015 0.9986 0.9954 0.9836 0.9986 0.9317 0.9949 0.9883 0.9960 0.9976 0.7102 0.9950	Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs.
@apple why don't you guys test your upgrades before you put them out . 15 1/2 hrs u guys wasted of my time yesterday . Thanks .	@ R V O N V D N P O V O T , $ $ N O N V P D N N , N ,	0.9990 0.9275 0.9999 0.9496 0.9264 0.7193 0.9854 0.9994 0.9944 0.9995 0.9995 0.9803 0.7443 0.9924 0.9918 0.9787 0.8879 0.8749 0.9363 0.9899 0.9935 0.9990 0.9985 0.9285 0.9979 0.9305 0.9942	@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks.
what is going on with all my @Apple products ?! First my #iPad freezes ( still is frozen ) and then my #iPhone won't turn on !!! #techieTroubles	O V V T P D D @ N , A D ^ N , R V A , & R D N V V T , #	0.9962 0.9976 0.9770 0.7097 0.9992 0.6220 0.9773 0.9684 0.9905 0.9892 0.6426 0.9931 0.7373 0.6701 0.9964 0.9583 0.9986 0.9269 0.9960 0.9992 0.9604 0.9795 0.5165 0.9416 0.9978 0.6475 0.9890 0.9823	what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles
#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(	^ P A V N P V P V P ^ E	0.7276 0.9824 0.9109 0.5731 0.9916 0.9743 0.9970 0.9951 0.9912 0.9914 0.7665 0.9833	#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(
@apple sux without steve	@ V P ^	0.9991 0.4145 0.9920 0.9369	@apple sux without steve
2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff .	$ @ N N V A $ N P N P $ A N , O V A N V D N ,	0.7304 0.9947 0.9287 0.3990 0.9976 0.9715 0.7914 0.9972 0.9943 0.9830 0.9995 0.4755 0.6656 0.5614 0.9986 0.9987 0.9941 0.8906 0.8543 0.9974 0.9945 0.9983 0.9981	2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
It took @apple about 7 years just to figure out how to properly syncronize an iPhone . WOW ! #ios5	O V @ P $ N R P V T R P R V D ^ , ! , #	0.9956 0.9978 0.9950 0.9296 0.9971 0.9959 0.9990 0.9938 0.9982 0.9539 0.9936 0.9731 0.9828 0.3770 0.9860 0.8844 0.9977 0.9959 0.9945 0.8951	It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5
@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S . Needless to say I'm back at the hotel relaxing .	@ P O V P D A ^ N & V V O V V P $ N P V D $ , A P V L R P D N A ,	0.9992 0.8067 0.9992 0.9995 0.9974 0.9994 0.5859 0.7870 0.7693 0.9984 0.9946 0.9907 0.9990 0.9999 0.9988 0.9311 0.9140 0.9975 0.9995 0.9999 0.9973 0.7478 0.9982 0.5517 0.9978 0.9970 0.9961 0.7982 0.9996 0.9992 0.9742 0.4865 0.9985	@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing.
Overall I am a fan of the iPhone 4S ; however , my Siri has issues connecting to the network @Apple	A O V D N P D ^ ^ , R , D ^ V N V P D N @	0.2517 0.9979 0.9995 0.9958 0.9987 0.9995 0.9989 0.9718 0.7522 0.9876 0.9887 0.9952 0.9653 0.9923 0.9883 0.6409 0.9964 0.9974 0.9980 0.9469 0.9951	Overall I am a fan of the iPhone 4S; however, my Siri has issues connecting to the network @Apple
Terrible customer service at Los Gatos @Apple ! Why do I have to pay $199 for a bad home button on my iPhone ?!?	A N N P ^ ^ @ , R V O V P V $ P D A N N P D ^ ,	0.8555 0.9434 0.9980 0.9997 0.9953 0.9647 0.9820 0.9951 0.8535 0.9938 0.9995 0.9998 0.9975 0.9877 0.9746 0.9995 0.9968 0.9823 0.9785 0.9777 0.9986 0.9925 0.7444 0.9843	Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?
@Apple thank you for sucking so much . I cannot believe you would sell something online that isn't made	@ V O P V R A , O V V O V V N A P V V	0.9986 0.9731 0.9993 0.9932 0.9843 0.9801 0.5038 0.9985 0.9938 0.9947 0.9999 0.9993 0.9997 0.9988 0.9977 0.6850 0.6613 0.9979 0.9349	@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made
Having major battery drain issue since updating iPhone 4 to iOS 5 . Anyone else ? @AppStore @iPhone @apple	V A N V N P V ^ $ P ^ $ , N R , @ @ @	0.9935 0.9786 0.9952 0.6681 0.9057 0.9926 0.9817 0.9041 0.6256 0.9958 0.8833 0.9910 0.9970 0.9399 0.9640 0.9974 0.9734 0.9982 0.9977	Having major battery drain issue since updating iPhone 4 to iOS 5.  Anyone else? @AppStore @iPhone @apple
Dear @apple please send me my Mac Book back surely the repair is done by now ... Thanks !	! @ V V O D ^ N R R D N V V P R , N ,	0.2794 0.9976 0.9842 0.9995 0.9946 0.9900 0.9934 0.6532 0.6227 0.9899 0.9980 0.9982 0.9973 0.9208 0.9842 0.9911 0.9330 0.7681 0.9978	Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!
@Apple , #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze .	@ , ^ P ^ V ^ ^ N N & V ,	0.9972 0.9918 0.7111 0.9824 0.8227 0.7536 0.6704 0.9369 0.9819 0.9972 0.9924 0.5283 0.9973	@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze.
@Apple , #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States ! Please fix .	@ , ^ # N P $ N V N N P A N , V V ,	0.9972 0.9918 0.8239 0.4376 0.7709 0.9989 0.9689 0.9409 0.9201 0.5046 0.9660 0.9907 0.9776 0.9886 0.9993 0.9700 0.9416 0.9987	@Apple, #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix.
Sorry @apple , but #iMessage will never be what #BBM is . Disappointed .	A @ , & ^ V R V O ^ V , A ,	0.7071 0.9867 0.9915 0.9951 0.9607 0.9478 0.9938 0.9963 0.9302 0.7992 0.9833 0.9937 0.4888 0.9991	Sorry @apple, but #iMessage will never be what #BBM is. Disappointed.
